,Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
1468,01/16/1970,08:05:41,60.25,-152.734,Earthquake,97.6,,,5.6,MW,,,,,,,ISCGEM800129,ISCGEM,ISCGEM,ISCGEM,Automatic
1469,01/18/1970,00:18:23,21.393,146.713,Earthquake,18.3,,,5.8,MW,,,,,,,ISCGEM800167,ISCGEM,ISCGEM,ISCGEM,Automatic
1470,01/20/1970,07:19:51,-25.946,-177.219,Earthquake,70.0,,,6.8,MW,,,,,,,ISCGEMSUP800237,ISCGEMSUP,ISCGEM,ISCGEM,Automatic
1471,01/20/1970,15:12:49,-5.344,154.344,Earthquake,170.0,,,5.7,MW,,,,,,,ISCGEM800248,ISCGEM,ISCGEM,ISCGEM,Automatic
1472,01/20/1970,17:33:05,42.523,143.05,Earthquake,35.1,,,6.4,MW,,,,,,,ISCGEM800254,ISCGEM,ISCGEM,ISCGEM,Automatic
1473,01/21/1970,17:51:37,6.843,-104.189,Earthquake,10.0,,,6.7,MW,,,,,,,ISCGEM800281,ISCGEM,ISCGEM,ISCGEM,Automatic
1474,01/22/1970,03:55:34,51.258,177.215,Earthquake,30.0,,,5.7,MW,,,,,,,ISCGEM800290,ISCGEM,ISCGEM,ISCGEM,Automatic
1475,01/23/1970,22:22:41,49.678,154.878,Earthquake,141.1,,,5.6,MW,,,,,,,ISCGEM800341,ISCGEM,ISCGEM,ISCGEM,Automatic
1476,01/26/1970,10:01:20,-12.592,166.488,Earthquake,35.0,,,6.5,MW,,,,,,,ISCGEM800401,ISCGEM,ISCGEM,ISCGEM,Automatic
1477,01/27/1970,09:02:51,-10.829,165.955,Earthquake,35.0,,,5.7,MW,,,,,,,ISCGEM800427,ISCGEM,ISCGEM,ISCGEM,Automatic
1478,01/27/1970,09:29:44,7.44,-72.1,Earthquake,18.6,,,5.8,MW,,,,,,,ISCGEM800429,ISCGEM,ISCGEM,ISCGEM,Automatic
